epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,369.145,0.53663,0.36769,0.89747,0.9572,1,0.995,0.88142,0.56954,0.31919,0.82713,0.000357893,0.000357893,0.000357893
83,373.762,0.53011,0.37256,0.87944,0.90087,0.98665,0.995,0.91489,0.54181,0.3752,0.82549,0.000352817,0.000352817,0.000352817
84,377.666,0.54352,0.38676,0.87369,0.96812,0.99143,0.995,0.9033,0.56064,0.35465,0.82728,0.000347742,0.000347742,0.000347742
85,381.576,0.52242,0.38023,0.88125,0.96342,1,0.995,0.86418,0.61754,0.33616,0.82996,0.000342666,0.000342666,0.000342666
86,386.272,0.50684,0.34943,0.87231,0.96464,1,0.995,0.88363,0.63702,0.33535,0.84792,0.000337591,0.000337591,0.000337591
87,390.331,0.50823,0.34169,0.86809,0.96493,1,0.995,0.87537,0.59623,0.33465,0.83252,0.000332516,0.000332516,0.000332516
88,394.328,0.51017,0.3702,0.85753,0.96944,1,0.995,0.86499,0.58807,0.32377,0.83182,0.00032744,0.00032744,0.00032744
89,398.882,0.56728,0.37758,0.91716,0.96609,1,0.995,0.87951,0.63467,0.33873,0.84627,0.000322365,0.000322365,0.000322365
90,402.829,0.5417,0.36323,0.85816,0.97344,1,0.995,0.87951,0.5732,0.32525,0.8304,0.000317289,0.000317289,0.000317289
91,406.781,0.53653,0.35479,0.89749,0.96511,1,0.995,0.86945,0.58091,0.31521,0.82515,0.000312214,0.000312214,0.000312214
92,411.48,0.52677,0.35994,0.8807,0.95658,1,0.995,0.86229,0.58375,0.32538,0.83776,0.000307139,0.000307139,0.000307139
93,415.391,0.49008,0.3492,0.87433,0.96181,1,0.995,0.84054,0.60512,0.33171,0.84496,0.000302063,0.000302063,0.000302063
94,419.294,0.49583,0.34099,0.86866,0.97778,0.99283,0.995,0.86623,0.60237,0.31656,0.85953,0.000296988,0.000296988,0.000296988
95,423.987,0.53305,0.35731,0.88974,0.96978,0.97272,0.995,0.90449,0.5524,0.31934,0.84676,0.000291912,0.000291912,0.000291912
96,428.116,0.4885,0.32721,0.86296,0.96872,0.96941,0.995,0.87435,0.5941,0.3478,0.85152,0.000286837,0.000286837,0.000286837
97,432.003,0.51214,0.32931,0.88302,0.96734,0.9848,0.995,0.87411,0.61685,0.34708,0.84839,0.000281762,0.000281762,0.000281762
98,436.763,0.51097,0.33739,0.89696,0.98257,1,0.995,0.87534,0.57747,0.30871,0.83009,0.000276686,0.000276686,0.000276686
99,440.905,0.51828,0.34312,0.87367,0.98344,1,0.995,0.87873,0.5481,0.29712,0.83173,0.000271611,0.000271611,0.000271611
100,444.945,0.46959,0.3192,0.86322,0.97,1,0.995,0.88398,0.56194,0.3027,0.82687,0.000266535,0.000266535,0.000266535
101,449.65,0.46951,0.34069,0.87886,0.96694,1,0.995,0.87942,0.58203,0.30979,0.83046,0.00026146,0.00026146,0.00026146
102,453.7,0.4582,0.32939,0.8664,0.97773,1,0.995,0.87993,0.56111,0.29071,0.83272,0.000256385,0.000256385,0.000256385
103,457.677,0.5056,0.33808,0.86046,0.95521,1,0.995,0.85409,0.55414,0.28961,0.83824,0.000251309,0.000251309,0.000251309
104,462.544,0.4811,0.33253,0.86955,0.96665,1,0.995,0.89056,0.56527,0.31572,0.82539,0.000246234,0.000246234,0.000246234
105,466.612,0.4563,0.33429,0.86055,0.97061,1,0.995,0.90793,0.58209,0.3227,0.8262,0.000241158,0.000241158,0.000241158
106,470.66,0.47874,0.34613,0.86662,0.97426,1,0.995,0.87543,0.57665,0.31648,0.82882,0.000236083,0.000236083,0.000236083
107,475.336,0.46515,0.32642,0.88404,0.97769,1,0.995,0.87089,0.58895,0.31691,0.8491,0.000231008,0.000231008,0.000231008
108,479.782,0.48986,0.35188,0.88744,0.98349,1,0.995,0.86808,0.58441,0.29442,0.84277,0.000225932,0.000225932,0.000225932
109,483.744,0.46803,0.31494,0.86174,0.98135,1,0.995,0.87263,0.56169,0.27797,0.82303,0.000220857,0.000220857,0.000220857
110,488.558,0.47034,0.31174,0.8666,0.96734,1,0.995,0.89495,0.5735,0.28277,0.81653,0.000215781,0.000215781,0.000215781
111,492.691,0.44711,0.31502,0.86399,0.97123,1,0.995,0.9113,0.56517,0.28537,0.82218,0.000210706,0.000210706,0.000210706
112,496.562,0.46713,0.32412,0.86636,0.97346,1,0.995,0.89007,0.5572,0.29418,0.83614,0.000205631,0.000205631,0.000205631
113,501.237,0.42241,0.30265,0.8581,0.96933,1,0.995,0.88886,0.55774,0.29491,0.83887,0.000200555,0.000200555,0.000200555
114,505.499,0.43139,0.30893,0.84646,0.95526,1,0.995,0.89203,0.57189,0.30928,0.83669,0.00019548,0.00019548,0.00019548
